"Row.names","E13.5_Skin_Mes_Ventral_121","E13.5_Skin_Mes_Ventral_122","E13.5_Skin_Mes_Ventral_123","E13.5_Skin_Mes_Ventral_126","E13.5_Skin_Mes_Ventral_128","E13.5_Mammary_Mes_111","E13.5_Mammary_Mes_113","E13.5_Mammary_Mes_114","E13.5_Mammary_Mes_115","E13.5_Mammary_Mes_117","E16.5_Mammary_Mes_41","E16.5_Mammary_Mes_42","E16.5_Mammary_Mes_43","E16.5_Mammary_Mes_46","E16.5_Mammary_Mes_62","E16.5_Fatpad_52","E16.5_Fatpad_53","E16.5_Fatpad_56","E16.5_Fatpad_57","E16.5_Fatpad_58","E13.5_SMG_Mes_1","E13.5_SMG_Mes_2","E13.5_SMG_Mes_3","E13.5_SMG_Mes_5","E13.5_SMG_Mes_6","ensembl_gene_id","CLUSTER","MEM.SHIP"
"1700066M21Rik",423.572974792657,544.428475399375,510.302566266107,581.331275115288,509.251185125831,541.529697688037,535.626494668192,411.570570685579,566.534848376621,616.667214820376,469.125014878481,411.874243991935,492.93592833971,473.420334954603,419.264126262799,636.96637404408,486.492339694214,470.64397971268,541.783562693003,500.13104554908,311.135498467973,348.7420799958,361.814959066064,287.031000156524,404.334432522501,"ENSMUSG00000038323",1,0.189258634571067
"4930503L19Rik",1582.565004502,1757.00940507513,1447.14772231761,1666.67011354007,1693.49334045843,1738.97892299772,1779.16827092598,1732.4029009536,1729.85827973716,2079.8065797446,1311.79099996575,1663.62840881483,1451.98599879599,1211.4506592753,1424.14029467993,1441.37382634109,1399.08350086004,1471.74057157065,1297.36172523371,1453.33822949335,1487.57976508349,1116.08963119531,1204.46501278896,946.257110547999,1220.52698513267,"ENSMUSG00000044906",1,0.44798811274032
"a",119.339077662689,110.062501339659,86.7625081918055,131.266644348643,153.899352566583,265.540427302795,143.506049177506,86.5440995980687,199.235221024116,119.362088353463,277.967772230033,255.633538366369,205.5290289853,216.344628210478,298.304976391268,1.24411581669773,2.51065732976161,2.93158809265235,1.12510150127475,4.04972426487563,9.24128228488916,8.37825135701111,3.03639560380994,9.00183438370915,18.2535228649191,"ENSMUSG00000027596",1,0.231535928552596
"A2m",110.508874251195,24.6088987061938,27.3416616815699,19.674447489298,33.6313144381583,1226.46344198815,1294.57697401851,1420.63828917145,1026.81317873119,1245.26187097526,84.1776156629292,166.280952109012,187.579834910529,524.315329906132,142.232927448086,164.483901576656,385.812573338869,173.2727258166,140.688383047448,284.005537362387,162.275735459321,210.552016054545,195.557599300552,221.634033912942,162.774352184922,"ENSMUSG00000030111",1,0.30433953417254
"Adamts2",2110.91895752788,1929.94569610488,2435.9147066688,2218.79722144265,1548.46371593191,3226.19336708437,3997.08335120782,3018.92486196361,3202.64508700398,2514.64794583043,3221.16475519495,3232.35959951773,3518.23855075744,3116.65803002141,3826.67736510374,1319.46291630761,1912.03419446768,1147.92700480268,1045.40141140531,1197.84634059248,2776.21162252098,2260.46597428308,2424.73578452306,4639.86838541888,2612.85536646107,"ENSMUSG00000036545",1,0.172332050646859
"Alb",364.996526162406,224.411418966795,270.415362479468,349.921060568836,286.754744871374,463.691168932974,446.594410366463,412.213540629234,546.369013920825,537.744959989627,215.865702158416,88.7636437868925,84.2783114673759,99.7065438439086,99.6753046793377,4.82981734274646,39.6006873394622,10.2427212478798,9.60913467589141,6.28259624733203,6.08741414552481,4.05900494514272,3.29513010666021,7.63194552935514,10.2677249554624,"ENSMUSG00000029368",1,0.551448656198807
"Angptl7",79.8823238425788,41.8868614575495,68.2435468747169,44.0455402020702,38.4519229254197,565.384152501504,299.027314126828,274.393629813543,240.078281260053,171.653496534783,124.076838864134,133.393061766435,215.637555939112,201.997736190214,152.384316128797,25.8679569711311,47.5846090294523,19.8763984814197,77.2998727383617,16.7199388505506,139.982433988399,175.806979253217,149.627274689606,96.8579675319436,159.39935317844,"ENSMUSG00000028989",1,0.277314489403955
"Apln",1267.46620496892,1073.73393638743,1183.40514239566,1081.65682380853,1366.4500415204,1562.01229583259,1294.8357348222,1331.81298372915,1278.86359532054,1342.41837033612,986.923112800042,1013.06622584779,1034.57568973034,939.173382631514,1199.90034355722,1072.95786741126,1113.28158208489,1526.50740337304,1200.18223462193,1670.9488888769,403.113971295706,350.668759693244,355.844351986178,249.698063086937,345.697347205741,"ENSMUSG00000037010",1,0.187656078181435
"Cbln2",376.453612949173,377.939854940809,424.063097132559,512.853720959155,525.54728877843,1355.01255934441,1306.95602409816,891.192508033684,1052.31372887577,1479.97459681678,874.74694152445,1006.73972022067,936.549935546741,835.969809502159,934.64749150455,160.340542404571,175.194707476178,179.925321234079,144.96130726666,113.068500156881,16.6709546716989,26.4562856843729,20.5186044115259,14.3612306047925,25.8735230665724,"ENSMUSG00000024647",1,0.504580315258773
"Cbln4",34.0831248395003,34.7354460867483,48.0806807526414,22.8697997203057,16.8813320160379,371.379786447066,684.440296779184,470.389079680359,473.940943587807,426.052781142743,10.2448766034606,14.4208715423173,26.6518327565194,48.7580742528104,10.091676564821,3.37408134406058,4.95673010723462,1.32509323209465,6.10262153197593,4.17998471263765,2.65789431623542,17.0135786374081,5.75489518036946,10.6632624805809,5.97747574419148,"ENSMUSG00000067578",1,0.373947581166012
"Col9a2",640.752792827221,967.082116469965,573.205259971801,566.345512834729,391.934138923938,1346.7714458641,1001.73602568994,841.566824931523,832.12088094778,694.679533545887,666.750950680768,970.409664872179,746.455785125611,621.66910476403,945.760859321147,342.091571408512,337.212561493446,443.681062994775,395.399039305613,471.241049439265,503.712527001417,669.785901204619,625.122446275423,610.574551658977,518.001223971098,"ENSMUSG00000028626",1,0.416141237961938
"Col9a3",206.868050015645,218.75026336289,329.860293705708,258.390462288145,256.494323661397,610.504259578018,694.388737988009,513.51963591865,608.861512360588,665.549897952095,789.992794367873,287.900079720997,216.66267123214,505.108933378273,161.56096071389,99.284563579424,147.286316466933,128.500249752769,109.298130959798,63.404806968964,61.7543518917469,59.0734808209257,78.7571283056536,41.6865100279515,94.8057833084835,"ENSMUSG00000027570",1,0.616709225023772
"Crispld2",469.005300796955,659.67621950465,451.285456880722,529.368341214215,498.621958398776,1054.76268441098,1385.56424560071,948.110913561753,900.099948638579,865.18684214828,831.43390611734,838.615578799435,797.571468840658,955.247573282906,1296.57127045499,232.253485406406,97.5806569271432,69.9045862396404,198.277274479443,134.403253908552,404.243775081513,432.42487182576,442.672538231185,483.673805387278,464.107356140547,"ENSMUSG00000031825",1,0.351636454455716
"Cthrc1",616.277903913407,827.663853307905,579.363123153288,618.012390962734,623.752405896919,803.052284950949,697.813838227902,894.799269157388,794.997602719629,743.301709240515,379.006096596177,352.144467014519,670.836968408221,785.818654385817,420.686407933913,542.207731302691,427.033506486334,310.392537753516,453.860805286197,218.964905653004,504.737052697272,309.296266875542,345.886660749655,264.338928263433,411.208649622242,"ENSMUSG00000054196",1,0.626484904941375
"Cxcl14",1001.39787364047,557.846005421849,817.1841523186,717.358296120876,638.021098607285,1598.95403524817,1532.8297586205,1355.76613149064,1420.47450340791,1768.82543718085,586.066364102905,586.130089348875,787.168460160892,903.27451147274,1004.80709404841,82.5825249491708,49.3048673065507,28.9402939556484,39.5831506812119,32.1107625518402,1.05717511295789,25.2459624587004,11.484187810088,2.12065160916076,1.18876784461827,"ENSMUSG00000021508",1,0.784866006655257
"Dkk1",94.7936909598602,64.3627383372101,113.997743074811,127.901472509858,92.8473260882084,259.411552324219,288.585090458907,301.163740039254,351.959422041437,542.248994181673,163.91802565537,233.137423267463,147.796527104335,242.629464734223,383.483709463198,11.2469378135353,4.95673010723462,9.27565262466255,9.15393229796389,9.40496560343472,0.885964772078474,0,0,0.888605206715078,0,"ENSMUSG00000024868",1,0.523367804089629
"Eln",2318.2336011928,1604.03274549225,2226.65935323484,1620.94020047104,1861.07704682059,2559.13145619463,4174.77982280869,3557.38790489735,4465.65808892513,3886.47704691661,2582.88208266837,3677.20601838868,4497.32618976307,3416.16116912804,3960.58648149669,3980.3253724676,1802.34343780762,1530.93096345095,3043.49780763371,1468.00312500465,587.213791934605,783.202300552838,619.550247658193,584.590614277078,567.794132559634,"ENSMUSG00000029675",1,0.233644850945716
"Fgf7",256.058188108262,169.13263780387,298.691483399168,197.844446207764,284.275535189406,826.740183882779,962.540315857644,1154.6529710495,889.134446624981,878.354214431878,777.156820056406,985.694195920983,678.327090900206,590.241881139698,869.093932753274,535.103228797945,726.513317351536,579.403982823355,571.472174085613,616.279206930028,634.437631563681,937.999663521453,692.131654656327,535.590624818651,692.235740512788,"ENSMUSG00000027208",1,0.1428225618452
"Flrt1",183.196796012314,143.028307416023,216.363063386887,239.709382253574,172.564727275054,271.606112476213,262.004884758744,282.042232735175,242.409138359665,241.1951694899,225.387285276134,307.645259569436,214.426108995633,270.491221450115,321.92448241779,51.7359139422622,41.6365329007708,27.8269578739876,33.5644184258676,44.9348356608548,151.499976025419,95.465080132123,158.25961746016,188.384303823597,175.339288496283,"ENSMUSG00000047787",1,0.290105551282032
"Frem1",1002.12953401042,787.849608987783,776.137870185225,905.946074794003,762.145797169505,10493.6542958968,10776.3633672887,7311.71591936935,7310.22380248871,8591.12470839962,8481.52294456649,10767.626275398,8590.9025599748,7583.26042120121,13880.8696591558,872.959053323875,1332.99336561592,1386.59147138019,1142.63499268848,957.06131144144,1668.14091274627,1262.31962688386,1170.14850194335,900.858361506065,1173.44485336462,"ENSMUSG00000059049",1,0.222415180287689
"Glod4",1987.81363160769,2617.83041595123,2747.35062880737,2150.61090423635,1868.87572738048,2481.46051503437,2798.75444510415,2311.80894571075,2623.7926746679,2422.0334212262,1647.43501080513,1464.59318393429,1910.80739014927,2017.13171946905,2073.58369987917,1657.54205442262,1491.80307893166,2270.33994155811,2463.06401288013,2030.02546443807,1255.3291442046,1368.20281312925,1794.40938512435,963.879648174179,834.450386866878,"ENSMUSG00000017286",1,0.320791976777074
"Grem2",498.465700777692,619.108244957926,424.971178265282,492.124208796207,393.897747040884,883.551312830782,655.012211896861,532.533978418618,634.770083461047,667.247950632643,447.359611684448,400.179185299305,699.004886386895,614.119554279445,326.9703207002,42.738363691434,52.5413391366869,47.7033563554074,32.5473148372049,48.069824195333,59.3596397292578,105.862267077206,78.6502341317159,95.9693623252285,66.7484791434716,"ENSMUSG00000050069",1,0.608779275900522
"Hbegf",368.986607475634,284.992269676522,430.355194189082,271.798966647872,285.352064605123,579.745844605468,385.797351154236,569.91191027208,386.598056760864,412.840725450805,190.422990090242,192.857441015336,387.257219119211,292.68136118984,278.785821142386,113.139969867991,117.610536588545,101.6880375129,140.374231425895,95.2156383499578,271.043795227458,176.252021714225,245.707861753029,317.298725556819,195.601860160259,"ENSMUSG00000024486",1,0.424177207891402
"Hsp90b1",39872.7890805421,37146.1741323681,35059.4472366032,26544.580463121,23505.6578460735,28025.5722673868,35658.3671202752,43652.919264346,31708.9156769159,39897.636462108,29805.2158773544,22856.7295612586,30591.4459731338,31498.6243979075,17121.6025234896,21685.8416899082,23021.4994056667,34417.4094950683,32005.6508430257,32519.9843923352,21107.9271207296,15227.4495028589,18983.7387783855,16067.2491582144,18173.6889157894,"ENSMUSG00000020048",1,0.309507610079981
"Htra1",813.036906326775,670.491520253541,677.97195351555,799.451033622443,430.556268653432,1402.50071743939,1473.20288562234,1499.76932976707,1811.91773182361,1343.15350682739,999.107951899871,907.769496756181,2251.14130534988,1854.59269953453,1021.24035478338,1183.45642922916,755.383716197151,513.32401910258,777.941242023471,762.076552406175,300.955291606201,181.580799448458,159.908747861429,137.213028522554,156.598781713327,"ENSMUSG00000006205",1,0.273066880767072
"Igfbp5",13693.6132910645,15629.3111197256,13907.691810483,15774.7579859348,13399.2555834064,14554.1159026485,25992.1145756193,18896.1739052417,18433.7957085974,18044.0471828321,5290.86620227448,5270.73446688172,6189.38059744771,5486.99149098421,5195.03250866833,5653.87358251394,7056.92344102158,4127.05840288743,4626.85783229058,3298.30173046427,7281.10302757654,3261.35497279454,5684.02104928345,7181.27255961355,4853.27684868073,"ENSMUSG00000026185",1,0.352916665467804
"Ism1",490.81668865197,422.892495980189,414.602223413283,571.127683561804,484.564824557903,597.068020830846,553.916230647558,437.368107484839,577.600257715629,615.494220827703,206.112192051711,208.567881117602,331.158602553667,370.5400458336,298.956286970934,57.2126927420476,52.7958906339545,55.9235470100486,41.9032807161662,47.2526532035355,58.3241351746874,39.8906801294872,30.8414741910533,41.6576368916906,23.0246687636387,"ENSMUSG00000074766",1,0.488885544970129
"Lgals1",44878.4284822395,38928.4927224372,43305.8664348403,38095.0576806485,30991.7832935264,45897.7493116647,42071.2593687662,40517.9846420348,49901.8626246618,45829.8575197045,37182.091157435,40598.160541099,45376.135240358,54747.4135806865,48705.7160875725,28960.8584588682,24081.9667680888,31831.6201378069,33665.4014323041,28678.9889768623,15110.8251728798,27588.3180009505,15846.8590552522,13583.1709066848,17027.1835078298,"ENSMUSG00000068220",1,0.340711787151676
