Row.names,baseMean_all_samples,log2FoldChange,lfcSE,pvalue,padj,external_gene_name,gene_biotype,percentage_gene_gc_content,entrezgene_id,baseMean_selected_samples
ENSMUSG00000000001,4416.51554985358,-0.103854535174602,0.198920321482531,0.564711877242736,0.835028066132478,Gnai3,protein_coding,41.65,14679,4197.74006504609
ENSMUSG00000000028,804.034419232918,1.08336476440396,0.201034602856601,1.22140032058699e-08,5.05412707939074e-07,Cdc45,protein_coding,46.23,12544,555.289876517985
ENSMUSG00000000037,242.287814535974,-0.296020239079909,0.404643773212715,0.280327220864161,0.599668383479631,Scml2,protein_coding,39.03,107815,262.961372331914
ENSMUSG00000000049,0.460782242855462,-0.00536438915951476,0.512178385694808,0.984575175575792,NA,Apoh,protein_coding,43.83,11818,0
ENSMUSG00000000056,2154.15130047339,-0.546827996246763,0.227429766230498,0.00740881359113117,0.0542880594775525,Narf,protein_coding,46.96,67608,2627.68689684762
ENSMUSG00000000058,792.40135438043,0.118930694420944,0.282435454879252,0.612191284240554,0.860986046590206,Cav2,protein_coding,39.77,12390,544.024573647873
ENSMUSG00000000078,2434.4624435764,0.375136570784064,0.348038080120853,0.158010323441681,0.434359332156765,Klf6,protein_coding,43.44,23849,1220.92509382439
ENSMUSG00000000085,2272.35334721471,-0.626899440204322,0.231602026784984,0.0025116241042226,0.023217392698371,Scmh1,protein_coding,39.89,29871,2952.36601977221
ENSMUSG00000000088,1929.23738322903,0.352793140489151,0.174247094893779,0.0308488789923986,0.15245605415084,Cox5a,protein_coding,42.75,12858,1216.16602310433
ENSMUSG00000000093,345.789746184139,3.19945377478938,0.587364219280439,2.59323151630508e-09,1.24678237966689e-07,Tbx2,protein_coding,55.36,21385,294.873846865584
ENSMUSG00000000094,3.66422564800501,0.0808417762773219,0.520969003847581,0.172895769244213,0.456968952901239,Tbx4,protein_coding,50.74,21387,1.77529140925555
ENSMUSG00000000120,322.927013761849,-2.00181024046009,0.389519318150081,1.88680123315395e-08,7.47173288328963e-07,Ngfr,protein_coding,53.62,18053,238.67178524213
ENSMUSG00000000125,1515.29029907445,-1.05076635043778,0.475055678399589,0.00351201561363863,0.0301352541982953,Wnt3,protein_coding,52.32,22415,2879.65820049641
